Year,total_precip,avg_precip,min_precip,max_precip,std_precip,avg_month_precip,Annual_Variation
2018,5983.0,31.554261679644046,0,1780,525.9281766265209,31.554261679644046,14.551024315527483
2019,9491.0,51.01905473674454,0,3202,1032.990403751373,51.01905473674454,58.63279291325423
2020,7019.0,37.18533324063775,0,2105,728.8776500811908,37.18533324063775,-26.045727531345484
2021,5229.0,27.705529291805707,8,1195,393.0202689660953,27.705529291805707,-25.50220829177946
2022,9468.0,51.239797691879865,0,3433,1059.9210090636686,51.239797691879865,81.06712564543889
2023,2962.0,15.945234288097886,13,1306,359.595184853325,15.945234288097886,-68.7156738487537
2024,4465.0,24.02061318131257,8,1231,480.7232162128854,24.02061318131257,50.74274139095205
2025,4954.0,26.23234149054505,0,1803,519.1326390911064,26.23234149054505,10.951847704367301
2026,5610.0,29.947204069336298,3,1056,422.2253814342202,29.947204069336298,13.24182478805005
2027,9140.0,49.11323924731183,0,1884,780.5413428376411,49.11323924731183,62.92335115864527
2028,3674.0,19.476345244716352,9,652,223.87367920866495,19.476345244716352,-59.80306345733042
2029,4051.0,21.44853077493511,6,1402,429.8681527955738,21.44853077493511,10.261295590636909
2030,7728.0,41.41173062662218,2,1631,636.6353316102912,41.41173062662218,90.76771167612935
2031,6225.0,33.02895578420467,21,1208,437.72991361423686,33.02895578420467,-19.448757763975156
2032,7024.0,37.217278457545426,0,2171,656.7083666193685,37.217278457545426,12.83534136546185
2033,6988.0,37.88174939747868,11,2055,648.5545233031451,37.88174939747868,-0.5125284738040969
2034,4230.0,22.69939979606971,0,956,332.01108962859,22.69939979606971,-39.46765884373211
2035,3390.0,17.999843576195772,7,795,266.6910026774261,17.999843576195772,-19.85815602836879
2036,5728.0,30.21811271783463,0,1337,453.33979496286184,30.21811271783463,68.96755162241888
2037,6735.0,35.54614502224695,12,1890,674.6558887179583,35.54614502224695,17.58030726256983
2038,4179.0,22.179145810159437,0,1001,400.2751610398209,22.179145810159437,-37.95100222717149
2039,7442.0,39.322934047089355,0,2991,823.7659457232578,39.322934047089355,78.0808805934434
2040,5286.0,28.972660595105676,0,2302,637.295065099362,28.972660595105676,-28.970706799247516
2041,4340.0,23.097562106043753,0,1222,415.8717751102296,23.097562106043753,-17.896329928112
2042,5083.0,26.708200083426032,0,1347,464.6583218458549,26.708200083426032,17.119815668202776
2043,6471.0,34.45579579162032,19,1718,580.8417285598235,34.45579579162032,27.306708636631917
2044,5320.0,28.132068038561368,1,1308,418.73539775535255,28.132068038561368,-17.787049915005404
2045,5415.0,29.211600852799403,9,1689,540.7644630941039,29.211600852799403,1.7857142857142794
2046,6091.0,32.643765063033,0,2087,661.4605682376941,32.643765063033,12.483841181902132
2047,5349.0,28.26517310901001,0,2157,596.5927688282701,28.26517310901001,-12.18190773272041
2048,4962.0,26.443108083055247,1,1428,460.600102632918,26.443108083055247,-7.234997195737525
2049,6891.0,37.80327099555061,5,3287,937.1759439934425,37.80327099555061,38.87545344619105
2050,4844.0,25.582875648869116,0,1488,426.88114874226426,25.582875648869116,-29.705412857350165
2051,4855.0,26.076074110122352,6,1130,410.02160881710813,26.076074110122352,0.22708505367465825
2052,2872.0,15.250399749721913,0,1063,346.9451969648372,15.250399749721913,-40.844490216271886
2053,5244.0,28.186503522432332,3,1170,462.7217895728,28.186503522432332,82.59052924791087
2054,6916.0,36.619478819058216,0,2187,644.3213954278258,36.619478819058216,31.8840579710145
2055,3793.0,20.107208240637746,0,893,270.78990794049963,20.107208240637746,-45.15615962984384
2056,6378.0,34.253962736373744,0,1905,662.3524878656516,34.253962736373744,68.15185868705511
2057,5700.0,30.178560669262144,5,1611,488.0642655150316,30.178560669262144,-10.630291627469424
2058,4411.0,23.37779824805339,1,2207,602.6415274489973,23.37779824805339,-22.614035087719298
2059,3703.0,19.647675658138674,0,1245,349.90062442027306,19.647675658138674,-16.050782135570163
2060,4496.0,23.81305038005191,0,1161,422.46642326684236,23.81305038005191,21.415068863083995
2061,4398.0,23.192673572487948,6,1016,344.92858285843363,23.192673572487948,-2.179715302491103
2062,4194.0,22.255984658880237,6,1320,393.8826544220315,22.255984658880237,-4.638472032742158
2063,5650.0,30.067447626992955,2,2561,797.0422406204914,30.067447626992955,34.71626132570338
2064,3756.0,19.785635659992582,0,1024,337.55403607826594,19.785635659992582,-33.522123893805315
2065,5388.0,28.772385984427142,3,2325,686.2019315836199,28.772385984427142,43.450479233226844
2066,4807.0,25.43360099184279,0,1979,609.5049344767565,25.43360099184279,-10.783221974758728
2067,5832.0,31.37626877085651,5,2714,852.0622043020098,31.37626877085651,21.323070522155184
2068,4160.0,22.01560182610308,0,1229,378.45411234588954,22.01560182610308,-28.66941015089163
2069,3677.0,19.782594086021508,0,957,300.3696081749142,19.782594086021508,-11.61057692307692
2070,5934.0,31.49836044679273,6,1156,445.7144418081645,31.49836044679273,61.381561055208046
2071,7167.0,37.864594920281796,0,2715,762.8220482345323,37.864594920281796,20.778564206268957
2072,2810.0,14.978674221357062,0,985,299.9935857900157,14.978674221357062,-60.792521278080095
2073,5790.0,30.86310020393029,0,1520,545.2464830448035,30.86310020393029,106.04982206405693
2074,4577.0,24.582811920652578,5,1683,538.4343394312698,24.582811920652578,-20.949913644214156
2075,5296.0,28.862213802373006,0,1899,542.0044168443536,28.862213802373006,15.70897968101377
2076,2124.0,11.308514089729329,0,582,198.47463772024327,11.308514089729329,-59.89425981873111
2077,4633.0,24.856634686688917,2,1095,413.76990934429716,24.856634686688917,118.12617702448209
2078,6462.0,33.98446769558769,0,2026,727.557245482818,33.98446769558769,39.4776602633283
2079,1903.0,10.195257461994808,0,683,207.6940312239632,10.195257461994808,-70.55091303002166
2080,5441.0,29.26665623841305,15,1383,514.9802217443684,29.26665623841305,185.9169732002102
2081,7855.0,41.528544447534294,1,1847,709.8056658926675,41.528544447534294,44.36684433008637
2082,3583.0,18.900045189099,1,1614,474.7007590114646,18.900045189099,-54.38574156588161
2083,6524.0,35.33922529662588,1,2330,700.2879061608529,35.33922529662588,82.08205414457159
